trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
605,False,"{'a': 0.5, 'e': 0.908796}",25,0,3.33024812813607,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
606,False,"{'a': 0.5, 'e': 0.90849375}",25,0,-10.637716918871403,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
607,False,"{'a': 0.5, 'e': 0.908191}",25,3,-39.67044307341617,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
608,False,"{'a': 0.5, 'e': 0.90788775}",20,12,-40.54645358912743,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
609,False,"{'a': 0.5, 'e': 0.907584}",25,14,-54.54874418728458,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
610,False,"{'a': 0.5, 'e': 0.90727975}",25,0,-117.66399167429914,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
611,False,"{'a': 0.5, 'e': 0.906975}",25,0,-232.5198166166474,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
612,False,"{'a': 0.5, 'e': 0.90666975}",20,0,-121.36315229523349,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
613,False,"{'a': 0.5, 'e': 0.906364}",20,0,-105.15036480783412,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
614,False,"{'a': 0.5, 'e': 0.90605775}",20,9,-76.19721223369172,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 1}",1
615,False,"{'a': 0.5, 'e': 0.905751}",30,0,-43.59391846015394,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
616,False,"{'a': 0.5, 'e': 0.90544375}",20,13,9.128698886670142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.5, 'e': 0.905136}",30,0,-159.51596441135248,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
618,False,"{'a': 0.5, 'e': 0.90482775}",30,0,-135.78591026765127,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
